anime_id,jpg_small,jpg_large,webp_small,webp_large
55774,https://cdn.myanimelist.net/images/anime/1056/139398t.jpg,https://cdn.myanimelist.net/images/anime/1056/139398l.jpg,https://cdn.myanimelist.net/images/anime/1056/139398t.webp,https://cdn.myanimelist.net/images/anime/1056/139398l.webp
55775,https://cdn.myanimelist.net/images/anime/1346/138036t.jpg,https://cdn.myanimelist.net/images/anime/1346/138036l.jpg,https://cdn.myanimelist.net/images/anime/1346/138036t.webp,https://cdn.myanimelist.net/images/anime/1346/138036l.webp
23023,https://cdn.myanimelist.net/images/anime/2/84543t.jpg,https://cdn.myanimelist.net/images/anime/2/84543l.jpg,https://cdn.myanimelist.net/images/anime/2/84543t.webp,https://cdn.myanimelist.net/images/anime/2/84543l.webp
23033,https://cdn.myanimelist.net/images/anime/1127/116647t.jpg,https://cdn.myanimelist.net/images/anime/1127/116647l.jpg,https://cdn.myanimelist.net/images/anime/1127/116647t.webp,https://cdn.myanimelist.net/images/anime/1127/116647l.webp
55802,https://cdn.myanimelist.net/images/anime/1171/138946t.jpg,https://cdn.myanimelist.net/images/anime/1171/138946l.jpg,https://cdn.myanimelist.net/images/anime/1171/138946t.webp,https://cdn.myanimelist.net/images/anime/1171/138946l.webp
23037,https://cdn.myanimelist.net/images/anime/11/62557t.jpg,https://cdn.myanimelist.net/images/anime/11/62557l.jpg,https://cdn.myanimelist.net/images/anime/11/62557t.webp,https://cdn.myanimelist.net/images/anime/11/62557l.webp
55809,https://cdn.myanimelist.net/images/anime/1542/136768t.jpg,https://cdn.myanimelist.net/images/anime/1542/136768l.jpg,https://cdn.myanimelist.net/images/anime/1542/136768t.webp,https://cdn.myanimelist.net/images/anime/1542/136768l.webp
23043,https://cdn.myanimelist.net/images/anime/3/60643t.jpg,https://cdn.myanimelist.net/images/anime/3/60643l.jpg,https://cdn.myanimelist.net/images/anime/3/60643t.webp,https://cdn.myanimelist.net/images/anime/3/60643l.webp
55813,https://cdn.myanimelist.net/images/anime/1912/140804t.jpg,https://cdn.myanimelist.net/images/anime/1912/140804l.jpg,https://cdn.myanimelist.net/images/anime/1912/140804t.webp,https://cdn.myanimelist.net/images/anime/1912/140804l.webp
23047,https://cdn.myanimelist.net/images/anime/1107/119730t.jpg,https://cdn.myanimelist.net/images/anime/1107/119730l.jpg,https://cdn.myanimelist.net/images/anime/1107/119730t.webp,https://cdn.myanimelist.net/images/anime/1107/119730l.webp
55818,https://cdn.myanimelist.net/images/anime/1627/136934t.jpg,https://cdn.myanimelist.net/images/anime/1627/136934l.jpg,https://cdn.myanimelist.net/images/anime/1627/136934t.webp,https://cdn.myanimelist.net/images/anime/1627/136934l.webp
